Input,Analysis,Overall Valence,Overall Arousal
He is happy ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Charlie should feel good about earning $45. Although $70 would have been better; $45 is still better than $20 and therefore is a good thing to leave with.,"{'happy': [7.47, 5.43, ['good'], 2]}",7.47,5.43
He feels okay with this.  It's not great; but he was more likely to get the lowest prize; and he did better.,"{'content': [6.06, 4.7, ['okay'], 1], 'great': [3.3, 3.3, ['not great'], 1]}",4.68,4.7
John felt okay about winning $45 dollars.  It was the middle prize and still a respectable amount of money.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
Jake feels very excited.  The pointer landed on the section with the smallest percentage of being hit; and received the most money from the wheel he could have,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
I think he feels really happy. He won the largest amount on the wheel.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
I thinks he felt wonderful.  He won the biggest prize.  He is full of joy and excitement,"{'excited': [7.5, 7.67, ['excitement'], 1], 'happy': [8.6, 7.22, ['joy'], 1]}",8.06,7.67
George is ecstatic. He feels the odds were against this much money; and he is surprised and happy with the outcome.  He couldn't feel better.,"{'excited': [8.66, 6.92, ['ecstatic'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.12,7.47
James feels elated.  He has never won an amount of money this large before.  He feels on top of the world.,"{'excited': [7.45, 6.21, ['elated'], 1]}",7.45,6.21
Very good,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43
He feels excited and happy because he won the largest amount available on the wheel.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.67
Steve felt great; because it landed on the highest award. The highest award was hardest to get; so he was happy. It was less likely to get that; so he was feeling lucky.,"{'great': [8.5, 8.5, ['great'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.3,8.5
He feels very happy! He got the rarest and highest prize on the wheel. $75 is a good amount.,"{'happy': [8.34, 6.46, ['very happy', 'good'], 2]}",8.34,7.49
It's the maximum he can win. I think he's very happy. ,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Scott is ecstatic about winning $70.  It appears to be the smallest part of the wheel and he got lucky enough that the pointer landed on it. ,"{'excited': [8.66, 6.92, ['ecstatic'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.42,6.92
David will be very happy for winning the highest prize.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Alex is happy to win. That $70 will probably be well spent. he's most likely loving this game.,"{'love': [8.68, 6.41, ['loving'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.45,6.49
Eric is very happy. He won the largest amount he could and had the smallest odds to do so.,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
I think Bob feels great to realize although he held the highest chance of winning one of the lower amounts of money; the pointer landed within the smallest portion of the wheel. He probably feels very lucky.,"{'great': [8.5, 8.5, ['great'], 1], 'fortunate': [9.17, 7.53, ['very lucky'], 1]}",8.84,8.5
I think Mike feels good because he won the most money on the wheel,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Chris is excited he bet the odds and won the $70 amount.,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
David hit the jackpot and feels lucky to get the largest prize. ,"{'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.17,6.53
Mike could not be happier for winning the most money on the wheel. He is leaving contented. ,{},0,0
I feel that the odds where the 20 dollars.  Glad they got the 70 dollars,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Mike is very happy as his chance to win the $70 was the least with the most reward.,"{'rewarded': [7.53, 4.95, ['reward'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.38,7.49
Very pleased. His win is significantly more than the minimum win would have been.,"{'happy': [9.01, 6.97, ['very pleased'], 1]}",9.01,6.97
Eric is most likely very satisfied with his spin because the chance of spinning $70 was a little lower than spinning $45 and much lower than spinning $20.,"{'content': [8.95, 5.94, ['very satisfied'], 1]}",8.95,5.94
Tom is in absolute shock; after his first winning spin. Tom dances and hollers; as he spins with excitement. Tom; is feeling really great now.,"{'great': [9.5, 9.5, ['very great'], 1], 'excited': [7.5, 7.67, ['excitement'], 1]}",8.5,9.5
Josh feels very good for getting the largest amount on the smallest section.,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43
I think he is happy that he won $70.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Frank should be very happy.  He obviously won the game.  70 is respectable.  Again; we should all be happy to win something.  He obviously did very well.,"{'happy': [8.72, 6.99, ['very happy', 'happy'], 2]}",8.72,7.49
Chris is thrilled with his victory. He landed not only on the smallest part of the wheel but also on the one that earned him the most money. He could not have asked for a better result to his spin.,"{'happy': [8.06, 8.02, ['thrilled'], 1]}",8.06,8.02
Alex has landed on the smallest part and the most reward. He's very happy!,"{'rewarded': [7.53, 4.95, ['reward'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.38,7.49
happy. won most money possible. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
John is very pleased with his spin. Today he's taking home 70$ which is the largest amount on the board.,"{'happy': [9.01, 6.97, ['very pleased'], 1]}",9.01,6.97
i think he feels ok,"{'content': [6.06, 4.7, ['ok'], 1]}",6.06,4.7
it is not bad,"{'unfortunate': [5.25, 7.25, ['not bad'], 1]}",5.25,7.25
he probably wishes he won the $95; but is happy that he won something,"{'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.65,6.49
John is exicited but a little dissapointed. He really wanted the 95$. But 30 is better than nothing.,{},0,0
disappointed that he got the least amount,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
very disappointed since the odds were with him on making the higher amount.,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1]}",1.39,3.92
Alex is probably disappointed that he only won $30; since the odds where in his favor to win $95.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
He is bummed out that he did not win more.,"{'sad': [2.39, 4.78, ['bummed'], 1]}",2.39,4.78
He feels like sad. He gets disappointed and got angry.,"{'angry': [2.85, 7.17, ['angry'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [1.61, 4.13, ['sad'], 1]}",2.29,7.17
Seeing as he ended up so close to 50 as well; he probably is bummed out that it didn't end up at the 50. And he probably is sad that he didn't get to be in the 95 section. ,"{'sad': [2.0, 4.46, ['bummed', 'sad'], 2]}",2.0,4.78
He's kind of bummed out. He thought he'd get 95 or 50 dollars. But 30 dollars is better than nothing.,"{'sad': [3.39, 5.78, ['a little bummed'], 1]}",3.39,5.78
Charlie is a tad bit disappointed that it wasn't more. Charlie thought he'd land on the larger area which was the highest prize amount.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Upset he only won 30 bucks.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
James would feel good to have won; but also slightly disappoints that he didn't win a larger prize since the odds were so favorable for the $95 as compared to either of the other possible prizes.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Very upset at the small amount of money,"{'sad': [1.0, 4.87, ['very upset'], 1]}",1.0,4.86
George would probably be somewhat sad that he didn't win $50 or $95; but at least he gets to walk away with something. I imagine he's happy for that.,"{'happy': [8.22, 6.49, ['happy'], 1], 'sad': [2.62, 5.13, ['a little sad'], 1]}",5.41,6.49
I think Charlie feels disappointed -- he had better odds of earning a higher amount of money.  He was probably hoping for $95.,"{'inspired': [7.1, 5.78, ['hoping'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.75,5.78
Bob is happy he won $30; but wishes it were more. He can add $30 to the $90 he won earlier; for a total of $120.,"{'fortunate': [7.09, 5.16, ['wishes'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.65,6.49
Pretty let down. The largest sized portion was $95 so he was expecting to win that.,"{'sad': [3.13, 6.07, ['a little down'], 1]}",3.13,6.07
David is displeased. He had a higher chance of landing on the $95; but he instead landed on the second largest piece; equaling $30.,"{'unhappy': [2.79, 5.64, ['displeased'], 1]}",2.79,5.64
Charlie is annoyed that he had a much greater chance of winning either $50 or $95. ,"{'annoying': [3.5, 4.74, ['annoyed'], 1]}",3.5,4.74
Not happy.  He got the low amount and the chances of that happening weren't really all that good going in.  Add to that the fact that the big amount was the biggest spot on the wheel and he can't be very happy about the end result.,"{'happy': [7.03, 5.2, ['not happy', 'very good', 'very happy'], 3]}",7.03,7.49
NO! Just a bit more and Josh could have won $50 instead. Rotten luck! ,{},0,0
His odds for hitting this slice were somewhat large; but the odds for $95 were better so he is disappointed that he didn't hit that.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
I think Tom is a bit disappointed; but he feels its still okay.,"{'content': [6.06, 4.7, ['okay'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.23,4.92
Jacob just feels decent. Not only because he is a poor sport; but because the largest amount and second largest make up the majority of the wheel.,"{'content': [6.06, 4.7, ['decent'], 1]}",6.06,4.7
Kinda bummed and feeling unlucky - the biggest section was the $95 so he felt like he had a pretty good chance of taking home some good money; but no.,"{'happy': [6.97, 4.93, ['a little good', 'good'], 2], 'unfortunate': [2.0, 4.0, ['unlucky'], 1], 'sad': [2.39, 4.78, ['bummed'], 1]}",4.59,5.43
Scott is disappointed that he only won $30. Scott is hopeful that if he spins again; he will win more. Scott prepares and is unsure of his next spin.,"{'inspired': [7.1, 5.78, ['hopeful'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1]}",4.75,5.78
Wishes he had won $95 since chance was highest. He won lowest amount possible so not so happy.,"{'happy': [8.22, 6.49, ['happy'], 1], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.65,6.49
He would be in a good mood winning $30,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
not happy ,"{'happy': [3.39, 1.67, ['not happy'], 1]}",3.39,1.666999999999999
James is not thrilled with the outcome. He really wanted it to come out differently.,"{'happy': [3.44, 3.41, ['not thrilled'], 1]}",3.44,3.4049999999999985
Moderately happy and excited. Slightly disappointed or sad maybe.,"{'sad': [1.61, 4.13, ['sad'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.18,7.67
He is glad about his winnings which is the middle amount but disappointed he did not win the higher amount of $95.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.16
He feels good; not great. The $95 prize had a larger chance than $50 and the amount of the prize is pretty much double! $50 is nice but he will certainly imagine what he could have won.,"{'great': [3.3, 3.3, ['not great'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",5.39,5.43
He is probably a bit disappointed given where it landed (so close to 95) and wishes he could have gotten the 95 dollars. But he probably is happy that he got 50 dollars.,"{'happy': [8.22, 6.49, ['happy'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['wishes'], 1]}",5.9,6.49
The middle amount; which is good. This was interesting because it has a pretty even odds.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Jake is content with the result.  He's not sad because he won some money; although he's disappointed to not win the highest dollar amount since it had the highest odds.,"{'content': [7.06, 4.7, ['content'], 1], 'disappointed': [2.39, 4.92, ['disappointed'], 1], 'sad': [5.37, 7.89, ['not sad'], 1]}",4.94,7.887
Happy! It's $50 more than he had before.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He probably feels equally lucky and unlucky because he won the prize in the middle of the lowest and highest prizes.,"{'unfortunate': [2.0, 4.0, ['unlucky'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",5.09,6.53
happy im not sure what else to say,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Still excited but somewhat down that he didn't win the highest; but he still won higher than the lowest. ,"{'excited': [7.5, 7.67, ['excited'], 1], 'sad': [3.13, 6.07, ['a little down'], 1]}",5.32,7.67
Happy; I imagine. It's not the most; it's not the least. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He feels pretty good. It could have been the 30; they're all large chunks of the wheel. He wouold have preferred $96 (almost 2x the prize he won) but 50 is good.,"{'happy': [6.97, 4.93, ['a little good', 'good'], 2]}",6.97,5.43
I think Chris feels pretty proud of himself for winning $50,"{'confident': [7.03, 4.56, ['a little proud'], 1]}",7.03,4.56
Bob probably feels pretty good about his win. He won the middle amount of money but may feel a little let down that he didn't win the full $95 considering his chances were the highest there. ,"{'sad': [3.13, 6.07, ['a little down'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",4.8,6.07
Satisfied but somewhat disappointed;  Won the middle prize but highest prize had best odds of winning.,"{'content': [7.94, 4.95, ['satisfied'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1]}",5.67,5.92
Scott must feel happy that he won the second highest outcome on the wheel. Of course; he must be a little upset that he didn't win the $95 prize; but at least he didn't win the lowest outcome!,"{'sad': [3.0, 6.86, ['a little upset'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.61,6.86
He feels like he missed out on the big one. That it wasn't the highest award; so he felt bad. I don't think it was a good feeling for frank; due to not hitting jackpot.,"{'unfortunate': [2.0, 4.0, ['bad'], 1], 'happy': [7.47, 5.43, ['good'], 1]}",4.74,5.43
He feels good but lightly disappointed but mostly good.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [7.47, 5.43, ['good'], 2]}",5.78,5.43
Cool. Could've been worse; could've been better. ,{},0,0
50 is ok. wish it were 95. Better than 30 anyway.,"{'content': [6.06, 4.7, ['ok'], 1], 'fortunate': [7.09, 5.16, ['wish'], 1]}",6.58,5.16
George is probably neutral about the outcome here. He had a somewhat even chance of winning anything; and he got the middle result. I wouldn't be sad about it; I would probably be happy if it happened to me. I'm sure George feels the same way.,"{'content': [5.0, 4.7, ['neutral'], 1], 'happy': [8.22, 6.49, ['happy'], 1], 'sad': [5.37, 7.89, ['not sad'], 1]}",6.2,7.887
Awesome! He won the most amount of money possible and is very happy and surprised. ,"{'great': [9.0, 6.0, ['awesome'], 1], 'surprised': [7.47, 7.47, ['surprised'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.56,7.49
He's also happy. He won $95; which is the maximum amount. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
He would feel great he got the largest section with the highest payout.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Bob would be happy and content he won the highest amount you could win. He is extremely excited. ,"{'content': [7.06, 4.7, ['content'], 1], 'excited': [8.5, 8.67, ['very excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.93,8.67
Happy and excited. Felt like he had a good chance since the section was large,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.73,7.67
He would be very very happy,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
James probably feels really excited! The other two choices are so low; he's very happy it landed on the one thats significantly higher than the others,"{'excited': [8.5, 8.67, ['very excited'], 1], 'happy': [9.22, 7.49, ['very happy'], 1]}",8.86,8.67
He felt good; he got the highest award. Although it was easier to get that; so he does not feel as special as someone who won the hard way. That is due to the space being biggest. ,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
He is delighted.  He just won the maximum prize; even though this was the most likely of the 3 outcomes.,"{'happy': [8.26, 5.44, ['delighted'], 1]}",8.26,5.44
He is happy! He won the highest amount out of all 3,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
he is thrilled that he won that amount. He is probably glad that it didn't touch the other sections.,"{'fortunate': [7.09, 5.16, ['glad'], 1], 'happy': [8.06, 8.02, ['thrilled'], 1]}",7.57,8.02
Jacob is super happy; he won the biggest amount on the roulette and is very excited to have done it.,"{'great': [9.0, 6.0, ['super'], 1], 'excited': [8.5, 8.67, ['very excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",8.57,8.67
Charlie probably feels great because he won the most amount of money available. He had a really good chance of getting this amount but just the fact that he won the most would lead to positive responses. ,"{'great': [8.5, 8.5, ['great'], 1], 'happy': [8.24, 6.2, ['very good', 'positive'], 2]}",8.33,8.5
George is very excited to win the largest amount of money; but again; he would have been extremely disappointed to get anything less since that was the largest section of the wheel.,"{'disappointed': [1.39, 3.92, ['very disappointed'], 1], 'excited': [8.5, 8.67, ['very excited'], 1]}",4.95,8.67
\n\nHe is very happy because he won the most amount of money that he could.\n,"{'happy': [9.22, 7.49, ['very happy'], 1]}",9.22,7.49
Frank is overwhelmed by joy. Frank is smiling from ear to ear and jumping up and down.,"{'sad': [2.13, 5.07, ['down'], 1], 'excited': [6.43, 6.96, ['overwhelmed', 'jumping'], 2], 'happy': [8.6, 7.22, ['joy'], 1]}",5.9,7.22
He would be very excited just winning $95,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
I bet he feels awesome!  The percentages worked in his favor for a big win.  Winning $95 is great.,"{'great': [8.75, 7.25, ['awesome', 'great'], 2]}",8.75,8.5
Very good.  He won the highest prize which was significantly higher value than the other two prizes.,"{'happy': [8.47, 6.43, ['very good'], 1]}",8.47,6.43
amazing,"{'great': [9.0, 6.0, ['amazing'], 1]}",9.0,6.0
excited he just won the top prize. he is happy he didnt lose.,"{'excited': [7.5, 7.67, ['excited'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",7.86,7.67
Excited,"{'excited': [7.5, 7.67, ['excited'], 1]}",7.5,7.67
I think Mike feels good because he won the most money on the wheel.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
John has to feel great; he won the maximum amount he could win of $95.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Scott feels satisfied that he has won the best available prize and that the high odds of this outcome helped his chances. ,"{'content': [7.94, 4.95, ['satisfied'], 1]}",7.94,4.94
Ecstatic and lucky. ,"{'excited': [8.66, 6.92, ['ecstatic'], 1], 'fortunate': [8.17, 6.53, ['lucky'], 1]}",8.42,6.92
Mike is ecstatic with his winnings. He would have been okay with $30 and excited about $50. Given that the largest portion was for $95; though; he had hoped to land on that very spot.,"{'content': [6.06, 4.7, ['okay'], 1], 'excited': [8.08, 7.3, ['ecstatic', 'excited'], 2]}",7.41,7.67
happy. won the most money possible. doesnt matter that this was the most probable outcome.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Mike is happy about winning $95.  It's the most amount of money on the wheel and also the largest section; so he must have known winning that much was the most probably result.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Happy!,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Bob is ecstatic that he won the maximum amount of money from this wheel. He had a greater than 50/50 chance of winning less money; so he's pretty cool with the outcome.,"{'excited': [8.66, 6.92, ['ecstatic'], 1]}",8.66,6.92
Frank was upset. He really wanted that 100$.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Frank would be somewhat happy he won $25 but disappointed it was not more money. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [7.22, 5.49, ['a little happy'], 1]}",4.81,5.49
Should still feel happy to have won a prize and not been penalized or won ZERO. But still; I can sympathize with only winning to smallest available prize. ,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Disappointed that he didn't win $100; but happy that he at least won some money.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
He won something; and he's probably glad for that.  However; of the possible options of winning; this was the lowest amount.  He is probably a bit disappointed.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.16
He feel totally bump right now. He just missed the $100 mark. Oh well; he won $25 nevertheless. ,{},0,0
Steve pretty much figured 25 was what he would win. Still he was hoping against odds for 100,"{'inspired': [7.1, 5.78, ['hoping'], 1]}",7.1,5.78
contempt. The $25 portion is the largest; so the odds of getting $60 is really slim. The odds of getting $100 even slimmer,"{'contempt': [3.85, 5.28, ['contempt'], 1]}",3.85,5.28
david is happy.\ndavid is excited.\nhe wishes it was $100 or even $60.,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
Disappointed since he won the lowest amount that you are able to win with a spin. ,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Eric is pleased enough with his winnings; but not as happy as he'd have been with $60 or $100. However; given how much more likely his outcome was; he half-expected it anyway.,"{'happy': [5.7, 3.82, ['pleased', 'not happy'], 2]}",5.7,5.97
George is okay with winning $25; but the $60 would have been better as he had about equal odds of winning $60.  He's fine with not winning $100; though.,"{'content': [6.06, 4.7, ['okay'], 1]}",6.06,4.7
Eric probably is glad for the $25; but is disappointed in not winning the larger amounts on the wheel; which where better odds.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'fortunate': [7.09, 5.16, ['glad'], 1]}",4.74,5.16
Disappointed to be so close to $100,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
I'm sure he's disappointed he didn't get the higher amount.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Happy,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Disappointed that he did not win the big prize but still happy cause he won a prize,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
He is happy he won money but disappointed that he lost out on the higher deals\n,"{'disappointed': [2.39, 4.92, ['disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.31,6.49
Happy. He didn't expect a big prize so 25 is fine,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
David's upset he didn't win the most amount. However; it's $25 more than he had.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
the odds of winning every time is usually a percentage,{},0,0
Psyche! Tom states loudly!  He just won $25 and is pretty pleased.,"{'happy': [7.01, 4.97, ['a little pleased'], 1]}",7.01,4.97
Josh is upset. He got the least amount possible. That's less than everyone else,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Scott is a tad upset. He was very close to winning $60. Even though he landed on the one with the most chance; he still had a shot at much more money.,"{'sad': [2.0, 5.86, ['upset'], 1]}",2.0,5.86
Frank is not surprised to win the 25 dollars as it was the largest section so his chance was the best; but it was the least reward.,"{'rewarded': [7.53, 4.95, ['reward'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1]}",5.57,4.95
good,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Ok; but a little bummed,"{'content': [6.06, 4.7, ['ok'], 1], 'sad': [3.39, 5.78, ['a little bummed'], 1]}",4.73,5.78
I think he feels fine.  He knew that $25 was the most likely outcome; although he probably wishes he had landed on the higher amount.,"{'fortunate': [7.09, 5.16, ['wishes'], 1]}",7.09,5.16
not good; not good at all.  forgetting that the odds were with him to win 25; john only pays attention to the fact that he has won only 1/4 of the highest prize amount there is.  john's a very mad and sad boy today.,"{'angry': [1.44, 5.76, ['very mad'], 1], 'sad': [1.61, 4.13, ['sad'], 1], 'happy': [3.61, 1.57, ['not good'], 2]}",2.57,5.76
Disappointed.  He won the lowest prize and it was significantly lower than the other prizes.,"{'disappointed': [2.39, 4.92, ['disappointed'], 1]}",2.39,4.92
Very excited to win a big prize. ,"{'excited': [8.5, 8.67, ['very excited'], 1]}",8.5,8.67
I think david felt good about his win; because he won a fair amount.,"{'happy': [7.47, 5.43, ['good'], 1]}",7.47,5.43
Not bad! I'll take that! Pretty good odds!,"{'unfortunate': [5.25, 7.25, ['not bad'], 1], 'happy': [6.47, 4.43, ['a little good'], 1]}",5.86,7.25
Eric won the middle prize. 100$ looked nice but 60$ is still a nice chunk of change. ,{},0,0
The player will feel excited at the result as it is a big amount to win in a gamble like the spin wheel. Of course; He would have would have loved to win the highest prize of $100; but still will be thankful for this amount.,"{'love': [8.64, 6.38, ['loved'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'happy': [6.89, 4.34, ['thankful'], 1]}",7.68,7.67
He is happy but a little disappointed that he did not win $100.\n\n,"{'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",5.81,6.49
He feels great! He could have just as easily walked away with a measly $25. Sure; it would have been nice to pocket $100; but $60 is just fine with him.,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
I feel good going to the good will to spend some cash.  Get me a radio.  get me some ice cream then be happy all day.,"{'happy': [7.72, 5.79, ['good', 'happy'], 3]}",7.72,6.49
Josh has mixed feelings; he won $60 but he really wanted the $100; yet he feels glad because the other option was only $25,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
Charlie should be happy. He got the middle amount and had almost the same chance to get the lowest amount. So he did well.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
I'm sure he's happy.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Pretty happy; he won some money but not the highest.,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
He feels pretty good about winning the amount that he has spun. But not the best.,"{'happy': [6.47, 4.43, ['a little good'], 1]}",6.47,4.43
He's very happy about winning. He would have been happy with any amount. He can't wait to spend it.,"{'happy': [8.72, 6.99, ['very happy', 'happy'], 2]}",8.72,7.49
Happy he won 60 dollars.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
david is happy.\ndavid is excited.\nhe wishes it was $100; but glad it's not $25.,"{'fortunate': [7.09, 5.16, ['wishes', 'glad'], 2]}",7.09,5.16
Great seeming as that was the greatest odd,"{'great': [8.5, 8.5, ['great'], 1]}",8.5,8.5
Eric probably feels pretty decent. He won the middle amount of money but may be a little let down that he didn't win the full $100.,"{'content': [5.06, 3.7, ['a little decent'], 1], 'sad': [3.13, 6.07, ['a little down'], 1]}",4.1,6.07
Mike is probably glad he won the $60; but had hoped for the $100; which is a lesser odd of winning.,"{'fortunate': [7.09, 5.16, ['glad'], 1]}",7.09,5.16
He is probably happy to some degree.  He received a nominally good prize.,"{'happy': [7.84, 5.96, ['happy', 'good'], 2]}",7.84,6.49
Frank has to be somewhat happy with the result.  He won the middle amount of $60 and had a large chance to win less than that.,"{'happy': [7.22, 5.49, ['a little happy'], 1]}",7.22,5.49
Eric should be happy.  Again; not the lowest and not the highest.  He beat the odds of a lower amount.  60 is quite a bit higher than 25.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
James is most likely satisfied with his spin. He was probably expecting to spin $25 since that is a majority of the wheel.,"{'content': [7.94, 4.95, ['satisfied'], 1]}",7.94,4.94
John feels satisfied with the $60.   Much better than receiving 25 or lesser amount.,"{'content': [7.94, 4.95, ['satisfied'], 1]}",7.94,4.94
ok with the win,"{'content': [6.06, 4.7, ['ok'], 1]}",6.06,4.7
He feels happy and excited that he won a fair amount of money. Probably does not feel all that surprised at the outcome. May feel a little disappointed or sad that he didn't win the maximum. ,"{'sad': [1.61, 4.13, ['sad'], 1], 'disappointed': [3.39, 5.92, ['a little disappointed'], 1], 'excited': [7.5, 7.67, ['excited'], 1], 'surprised': [3.61, 3.61, ['not surprised'], 1], 'happy': [8.22, 6.49, ['happy'], 1]}",4.87,7.67
Mike is happy with the $60 but would have been happier with the $100,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
Tom had equal chance of winning $25 and $60 so he is happy he won the higher amount.,"{'happy': [8.22, 6.49, ['happy'], 1]}",8.22,6.49
